Year,target,source,Population type,value
2013,Austria, Afghanistan,Refugees (incl. refugee-like situations),11906
2014,Austria, Afghanistan,Refugees (incl. refugee-like situations),11906
2013,Germany, Afghanistan,Refugees (incl. refugee-like situations),24203
2014,Germany, Afghanistan,Refugees (incl. refugee-like situations),27814
2013,India, Afghanistan,Refugees (incl. refugee-like situations),10328
2014,India, Afghanistan,Refugees (incl. refugee-like situations),10395
2013,Iran (Islamic Rep. of), Afghanistan,Refugees (incl. refugee-like situations),814015
2014,Iran (Islamic Rep. of), Afghanistan,Refugees (incl. refugee-like situations),950000
2014,Pakistan, Afghanistan,Refugees (incl. refugee-like situations),1504912
2013,Pakistan, Afghanistan,Refugees (incl. refugee-like situations),1615876
2013,Sweden, Afghanistan,Refugees (incl. refugee-like situations),10499
2014,Sweden, Afghanistan,Refugees (incl. refugee-like situations),12090
2014,Nepal, Bhutan,Refugees (incl. refugee-like situations),23059
2013,Nepal, Bhutan,Refugees (incl. refugee-like situations),30977
2014,Serbia and Kosovo (S/RES/1244 (1999)), Bosnia and Herzegovina,Refugees (incl. refugee-like situations),11325
2013,Serbia and Kosovo (S/RES/1244 (1999)), Bosnia and Herzegovina,Refugees (incl. refugee-like situations),15296
2013,Uganda, Burundi,Refugees (incl. refugee-like situations),10587
2014,Uganda, Burundi,Refugees (incl. refugee-like situations),11903
2014,United Rep. of Tanzania, Burundi,Refugees (incl. refugee-like situations),34313
2013,United Rep. of Tanzania, Burundi,Refugees (incl. refugee-like situations),35183
2014,France, Cambodia,Refugees (incl. refugee-like situations),12003
2013,France, Cambodia,Refugees (incl. refugee-like situations),12560
2013,Cameroon, Central African Rep.,Refugees (incl. refugee-like situations),103892
2014,Cameroon, Central African Rep.,Refugees (incl. refugee-like situations),220702
2013,Chad, Central African Rep.,Refugees (incl. refugee-like situations),80545
2014,Chad, Central African Rep.,Refugees (incl. refugee-like situations),91783
2013,Congo, Central African Rep.,Refugees (incl. refugee-like situations),10084
2014,Congo, Central African Rep.,Refugees (incl. refugee-like situations),21695
2013,Dem. Rep. of the Congo, Central African Rep.,Refugees (incl. refugee-like situations),53385
