Year,target,source,Population type,value
2013,Aruba,Colombia,Refugees (incl. refugee-like situations),1.00
2013,Afghanistan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),36.00
2013,Afghanistan,Iraq,Refugees (incl. refugee-like situations),1.00
2013,Afghanistan,Pakistan,Refugees (incl. refugee-like situations),16825.00
2013,Afghanistan,Palestinian,Refugees (incl. refugee-like situations),1.00
2013,Angola,Burundi,Refugees (incl. refugee-like situations),18.00
2013,Angola,Central African Rep.,Refugees (incl. refugee-like situations),13.00
2013,Angola,C̫te d'Ivoire,Refugees (incl. refugee-like situations),407.00
2013,Angola,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),21104.00
2013,Angola,Congo,Refugees (incl. refugee-like situations),65.00
2013,Angola,Cuba,Refugees (incl. refugee-like situations),2.00
2013,Angola,Algeria,Refugees (incl. refugee-like situations),1.00
2013,Angola,Eritrea,Refugees (incl. refugee-like situations),5.00
2013,Angola,Western Sahara,Refugees (incl. refugee-like situations),27.00
2013,Angola,Guinea,Refugees (incl. refugee-like situations),164.00
2013,Angola,Guinea-Bissau,Refugees (incl. refugee-like situations),5.00
2013,Angola,Haiti,Refugees (incl. refugee-like situations),2.00
2013,Angola,Iraq,Refugees (incl. refugee-like situations),2.00
2013,Angola,Liberia,Refugees (incl. refugee-like situations),160.00
2013,Angola,Mauritania,Refugees (incl. refugee-like situations),235.00
2013,Angola,Rwanda,Refugees (incl. refugee-like situations),458.00
2013,Angola,Sudan,Refugees (incl. refugee-like situations),281.00
2013,Angola,Sierra Leone,Refugees (incl. refugee-like situations),413.00
2013,Angola,Somalia,Refugees (incl. refugee-like situations),215.00
2013,Angola,Chad,Refugees (incl. refugee-like situations),195.00
2013,Angola,United Rep. of Tanzania,Refugees (incl. refugee-like situations),6.00
2013,Angola,Uganda,Refugees (incl. refugee-like situations),2.00
2013,Angola,South Africa,Refugees (incl. refugee-like situations),2.00
2013,Angola,Zambia,Refugees (incl. refugee-like situations),1.00
2013,Albania,China,Refugees (incl. refugee-like situations),12.00
2013,Albania,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),5.00
2013,Albania,Egypt,Refugees (incl. refugee-like situations),3.00
2013,Albania,Iraq,Refugees (incl. refugee-like situations),5.00
2013,Albania,Montenegro,Refugees (incl. refugee-like situations),2.00
2013,Albania,Peru,Refugees (incl. refugee-like situations),1.00
2013,Albania,Palestinian,Refugees (incl. refugee-like situations),4.00
2013,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),54.00
2013,Albania,Turkey,Refugees (incl. refugee-like situations),4.00
2013,Albania,Uzbekistan,Refugees (incl. refugee-like situations),3.00
2013,United Arab Emirates,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),6.00
2013,United Arab Emirates,Iraq,Refugees (incl. refugee-like situations),540.00
2013,United Arab Emirates,Sri Lanka,Refugees (incl. refugee-like situations),11.00
2013,United Arab Emirates,Palestinian,Refugees (incl. refugee-like situations),1.00
2013,United Arab Emirates,Sudan,Refugees (incl. refugee-like situations),6.00
2013,United Arab Emirates,Somalia,Refugees (incl. refugee-like situations),23.00
2013,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16.00
2013,Argentina,Afghanistan,Refugees (incl. refugee-like situations),1.00
2013,Argentina,Angola,Refugees (incl. refugee-like situations),13.00
2013,Argentina,Albania,Refugees (incl. refugee-like situations),25.00
2013,Argentina,Armenia,Refugees (incl. refugee-like situations),122.00
2013,Argentina,Burundi,Refugees (incl. refugee-like situations),5.00
